ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,2Q,S3-FIFO,LIRS,Hyperbolic,LeanEvict,LRU-2,Clock Sweep,lru,CLOCK,Random
100,72309,66696,72581,67656,68708,72755,70681,73422,79262,88266,71746,82054,85601,88101,93241
200,61686,58493,66415,61339,61328,65704,63589,66614,72225,81701,65141,74989,78829,81434,88918
300,55163,51567,50131,57633,57022,61363,59194,62264,67699,77528,61074,70527,74610,77157,85607
400,49533,48223,50853,55038,53903,58170,56059,58984,64263,74260,58115,67155,71355,74066,83032
500,50113,45509,44606,52933,51295,55628,53612,56293,61499,71759,55781,64327,68654,71394,80795
600,45023,43432,42537,51156,49220,53505,51491,54121,59121,69569,53781,61951,66327,69157,79245
700,41475,43721,42546,49777,47427,51747,49751,52222,57084,67577,52098,59986,64372,67206,77281
800,39130,41246,40070,48554,45896,50204,48180,50456,55282,65849,50571,58107,62618,65448,75922
900,38201,37935,39104,47481,44519,48756,46766,48930,53670,64323,49213,56530,60991,63791,74558
1000,36737,37357,36361,46482,43197,47407,45473,47607,52245,62827,47973,54989,59532,62380,73217
2000,28475,28203,28273,40106,34570,38214,36504,37950,41959,52630,39312,44438,49235,52102,63544
3000,23377,23454,23207,36344,29074,32324,30758,31711,35184,45463,33645,37446,42194,44917,56665
4000,20089,20089,19915,33571,25043,27768,26413,26878,30005,39639,29173,31926,36595,39202,50843
5000,17390,17396,17233,31528,21823,23803,22671,22854,25698,34598,25430,27195,31679,34011,45634
6000,15255,15235,15084,27092,18920,20359,19311,19411,21986,29768,21990,23135,27198,29240,40519
7000,13443,13471,13272,22820,16452,17399,16334,16335,18699,24968,18779,19385,22899,24635,34652
8000,11866,11866,11772,18444,14097,14621,13932,13659,15577,20119,15672,15847,18512,19872,28496
9000,10475,10462,10420,13940,11929,12072,11924,11358,12576,14998,12494,12466,13997,14774,20388
10000,9338,9338,9338,9338,9338,10080,10095,9338,9338,9338,9338,9338,9338,9338,9338
